technique,image_id,original_bytes,processed_bytes,compression_ratio
Baseline_NoOp,101646_97_3.jpg,19073,19073,1.000000
Baseline_NoOp,101646_97_4.jpg,19073,19073,1.000000
Baseline_NoOp,101646_97_5.jpg,19073,19073,1.000000
Baseline_NoOp,101646_97_6.jpg,19073,19073,1.000000
Baseline_NoOp,101647_34_1.jpg,13281,13281,1.000000
Baseline_NoOp,101647_34_2.jpg,13281,13281,1.000000
Baseline_NoOp,101647_34_3.jpg,13281,13281,1.000000
Baseline_NoOp,101702_125_1.jpg,31159,31159,1.000000
Baseline_NoOp,101702_125_2.jpg,31159,31159,1.000000
Baseline_NoOp,101720_78_1.jpg,15001,15001,1.000000
Baseline_NoOp,101720_78_3.jpg,15001,15001,1.000000
Baseline_NoOp,101720_78_4.jpg,15001,15001,1.000000
Baseline_NoOp,101738_110_1.jpg,16392,16392,1.000000
Baseline_NoOp,101738_110_2.jpg,16392,16392,1.000000
Baseline_NoOp,101738_110_3.jpg,16392,16392,1.000000
Baseline_NoOp,101738_110_all.jpg,16392,16392,1.000000
Baseline_NoOp,101742_64_1.jpg,16087,16087,1.000000
Baseline_NoOp,101761_9_1.jpg,13916,13916,1.000000
Baseline_NoOp,101761_9_2.jpg,13916,13916,1.000000
Baseline_NoOp,101761_9_3.jpg,13916,13916,1.000000
Baseline_NoOp,101772_18_1.jpg,22921,22921,1.000000
Baseline_NoOp,101772_18_2.jpg,22921,22921,1.000000
Baseline_NoOp,101772_18_3.jpg,22921,22921,1.000000
Baseline_NoOp,101772_18_all.jpg,22921,22921,1.000000
Baseline_NoOp,101781_49_1.jpg,18382,18382,1.000000
Baseline_NoOp,101781_49_2.jpg,18382,18382,1.000000
Baseline_NoOp,101781_49_3.jpg,18382,18382,1.000000
Baseline_NoOp,101781_49_4.jpg,18382,18382,1.000000
Baseline_NoOp,101781_49_5.jpg,18382,18382,1.000000
Baseline_NoOp,101806_32_1.jpg,14380,14380,1.000000
Baseline_NoOp,101806_32_2.jpg,14380,14380,1.000000
Baseline_NoOp,101806_32_all.jpg,14380,14380,1.000000
Baseline_NoOp,101822_69_1.jpg,10967,10967,1.000000
Baseline_NoOp,101822_69_2.jpg,10967,10967,1.000000
Baseline_NoOp,101822_69_3.jpg,10967,10967,1.000000
Baseline_NoOp,101822_69_4.jpg,10967,10967,1.000000
Baseline_NoOp,101822_69_5.jpg,10967,10967,1.000000
Baseline_NoOp,101832_28_1.jpg,20741,20741,1.000000
Baseline_NoOp,101832_28_2.jpg,20741,20741,1.000000
Baseline_NoOp,101874_25_1.jpg,17196,17196,1.000000
Baseline_NoOp,101874_25_2.jpg,17196,17196,1.000000
Baseline_NoOp,101874_25_3.jpg,17196,17196,1.000000
Baseline_NoOp,101877_99_1.jpg,15444,15444,1.000000
Baseline_NoOp,101877_99_2.jpg,15444,15444,1.000000
Baseline_NoOp,101882_1_1.jpg,21766,21766,1.000000
Baseline_NoOp,101882_1_2.jpg,21766,21766,1.000000
Baseline_NoOp,101882_1_4.jpg,21766,21766,1.000000
Baseline_NoOp,101882_1_5.jpg,21766,21766,1.000000
Baseline_NoOp,101895_60_1.jpg,12837,12837,1.000000
Baseline_NoOp,101895_60_2.jpg,12837,12837,1.000000
Baseline_NoOp,101931_8_1.jpg,22737,22737,1.000000
Baseline_NoOp,101931_8_2.jpg,22737,22737,1.000000
Baseline_NoOp,101931_8_3.jpg,22737,22737,1.000000
Baseline_NoOp,101931_8_all.jpg,22737,22737,1.000000
Baseline_NoOp,101952_6_1.jpg,16046,16046,1.000000
Baseline_NoOp,101952_6_2.jpg,16046,16046,1.000000
Baseline_NoOp,101952_6_3.jpg,16046,16046,1.000000
Baseline_NoOp,101952_6_4.jpg,16046,16046,1.000000
Baseline_NoOp,101952_6_all.jpg,16046,16046,1.000000
Baseline_NoOp,101985_50_1.jpg,18392,18392,1.000000
Baseline_NoOp,101985_50_2.jpg,18392,18392,1.000000
Baseline_NoOp,101985_50_3.jpg,18392,18392,1.000000
Baseline_NoOp,101985_50_4.jpg,18392,18392,1.000000
Baseline_NoOp,102004_69_1.jpg,14041,14041,1.000000
Baseline_NoOp,102004_69_2.jpg,14041,14041,1.000000
Baseline_NoOp,102004_69_3.jpg,14041,14041,1.000000
Baseline_NoOp,102004_69_4.jpg,14041,14041,1.000000
Baseline_NoOp,102029_121_1.jpg,21910,21910,1.000000
Baseline_NoOp,102029_121_2.jpg,21910,21910,1.000000
Baseline_NoOp,102029_121_3.jpg,21910,21910,1.000000
Baseline_NoOp,102029_121_4.jpg,21910,21910,1.000000
Baseline_NoOp,10211_15_1.jpg,24110,24110,1.000000
Baseline_NoOp,10211_15_2.jpg,24110,24110,1.000000
Baseline_NoOp,10211_15_3.jpg,24110,24110,1.000000
Baseline_NoOp,10211_15_8.jpg,24110,24110,1.000000
Baseline_NoOp,10219_91_1.jpg,23260,23260,1.000000
Baseline_NoOp,10219_91_2.jpg,23260,23260,1.000000
Baseline_NoOp,10219_91_3.jpg,23260,23260,1.000000
Baseline_NoOp,10219_91_all.jpg,23260,23260,1.000000
Baseline_NoOp,102210_58_1.jpg,13760,13760,1.000000
Baseline_NoOp,102210_58_2.jpg,13760,13760,1.000000
Baseline_NoOp,102210_58_3.jpg,13760,13760,1.000000
Baseline_NoOp,102210_58_all.jpg,13760,13760,1.000000
Baseline_NoOp,10222_68_1.jpg,14700,14700,1.000000
Baseline_NoOp,10222_68_2.jpg,14700,14700,1.000000
Baseline_NoOp,10222_68_3.jpg,14700,14700,1.000000
Baseline_NoOp,10222_68_all.jpg,14700,14700,1.000000
Baseline_NoOp,102240_44_1.jpg,14471,14471,1.000000
Baseline_NoOp,102240_44_2.jpg,14471,14471,1.000000
Baseline_NoOp,102240_44_3.jpg,14471,14471,1.000000
Baseline_NoOp,102240_44_4.jpg,14471,14471,1.000000
Baseline_NoOp,102300_68_1.jpg,20076,20076,1.000000
Baseline_NoOp,102300_68_2.jpg,20076,20076,1.000000
Baseline_NoOp,102300_68_3.jpg,20076,20076,1.000000
Baseline_NoOp,102307_83_1.jpg,21435,21435,1.000000
Baseline_NoOp,102307_83_2.jpg,21435,21435,1.000000
Baseline_NoOp,102307_83_3.jpg,21435,21435,1.000000
Baseline_NoOp,102307_83_4.jpg,21435,21435,1.000000
Baseline_NoOp,102307_83_all.jpg,21435,21435,1.000000
Baseline_NoOp,102315_7_1.jpg,16846,16846,1.000000
Baseline_NoOp,102315_7_2.jpg,16846,16846,1.000000
Baseline_NoOp,102315_7_4.jpg,16846,16846,1.000000
Baseline_NoOp,102315_7_5.jpg,16846,16846,1.000000
Baseline_NoOp,102315_7_6.jpg,16846,16846,1.000000
