technique,image_id,original_pixels_w,original_pixels_h,processed_pixels_w,processed_pixels_h,processed_pixels_total,payload_image_count,original_binary_bytes,processed_binary_bytes,compression_ratio,base64_chars_total,base64_bytes_utf8_total,data_url_bytes_utf8_total,json_bytes_utf8
Baseline_NoOp,101319_95_1.jpg,224,224,224,224,50176,1,21099,21099,1.000000,28132,28132,28155,30686
Baseline_NoOp,101319_95_2.jpg,224,224,224,224,50176,1,21099,21099,1.000000,28132,28132,28155,30686
Baseline_NoOp,101319_95_3.jpg,224,224,224,224,50176,1,21099,21099,1.000000,28132,28132,28155,30686
Baseline_NoOp,101319_95_4.jpg,224,224,224,224,50176,1,21099,21099,1.000000,28132,28132,28155,30686
Baseline_NoOp,101319_95_5.jpg,224,224,224,224,50176,1,21099,21099,1.000000,28132,28132,28155,30686
Baseline_NoOp,101328_39_1.jpg,224,224,224,224,50176,1,16787,16787,1.000000,22384,22384,22407,24438
Baseline_NoOp,101328_39_2.jpg,224,224,224,224,50176,1,16787,16787,1.000000,22384,22384,22407,24438
Baseline_NoOp,101328_39_3.jpg,224,224,224,224,50176,1,16787,16787,1.000000,22384,22384,22407,24438
Baseline_NoOp,101357_53_1.jpg,224,224,224,224,50176,1,14373,14373,1.000000,19164,19164,19187,21008
Baseline_NoOp,101357_53_2.jpg,224,224,224,224,50176,1,14373,14373,1.000000,19164,19164,19187,21008
Baseline_NoOp,101357_53_3.jpg,224,224,224,224,50176,1,14373,14373,1.000000,19164,19164,19187,21008
Baseline_NoOp,101357_53_4.jpg,224,224,224,224,50176,1,14373,14373,1.000000,19164,19164,19187,21008
Baseline_NoOp,101369_47_1.jpg,224,224,224,224,50176,1,15777,15777,1.000000,21036,21036,21059,23110
Baseline_NoOp,101369_47_2.jpg,224,224,224,224,50176,1,15777,15777,1.000000,21036,21036,21059,23110
Baseline_NoOp,101369_47_3.jpg,224,224,224,224,50176,1,15777,15777,1.000000,21036,21036,21059,23110
Baseline_NoOp,101369_47_4.jpg,224,224,224,224,50176,1,15777,15777,1.000000,21036,21036,21059,23110
Baseline_NoOp,101476_95_1.jpg,224,224,224,224,50176,1,21780,21780,1.000000,29040,29040,29063,31579
Baseline_NoOp,101476_95_2.jpg,224,224,224,224,50176,1,21780,21780,1.000000,29040,29040,29063,31579
Baseline_NoOp,101476_95_3.jpg,224,224,224,224,50176,1,21780,21780,1.000000,29040,29040,29063,31579
Baseline_NoOp,101476_95_4.jpg,224,224,224,224,50176,1,21780,21780,1.000000,29040,29040,29063,31579
Baseline_NoOp,101476_95_5.jpg,224,224,224,224,50176,1,21780,21780,1.000000,29040,29040,29063,31579
Baseline_NoOp,101491_52_1.jpg,224,224,224,224,50176,1,16740,16740,1.000000,22320,22320,22343,24244
Baseline_NoOp,101491_52_2.jpg,224,224,224,224,50176,1,16740,16740,1.000000,22320,22320,22343,24244
Baseline_NoOp,101491_52_all.jpg,224,224,224,224,50176,1,16740,16740,1.000000,22320,22320,22343,24244
Baseline_NoOp,1014_48_1.jpg,224,224,224,224,50176,1,22944,22944,1.000000,30592,30592,30615,33036
Baseline_NoOp,1014_48_2.jpg,224,224,224,224,50176,1,22944,22944,1.000000,30592,30592,30615,33036
Baseline_NoOp,1014_48_3.jpg,224,224,224,224,50176,1,22944,22944,1.000000,30592,30592,30615,33036
Baseline_NoOp,1014_48_4.jpg,224,224,224,224,50176,1,22944,22944,1.000000,30592,30592,30615,33036
Baseline_NoOp,1014_48_5.jpg,224,224,224,224,50176,1,22944,22944,1.000000,30592,30592,30615,33036
Baseline_NoOp,101522_60_1.jpg,224,224,224,224,50176,1,18723,18723,1.000000,24964,24964,24987,27358
Baseline_NoOp,101552_7_1.jpg,224,224,224,224,50176,1,20423,20423,1.000000,27232,27232,27255,29756
Baseline_NoOp,101552_7_2.jpg,224,224,224,224,50176,1,20423,20423,1.000000,27232,27232,27255,29756
Baseline_NoOp,101552_7_3.jpg,224,224,224,224,50176,1,20423,20423,1.000000,27232,27232,27255,29756
Baseline_NoOp,101552_7_4.jpg,224,224,224,224,50176,1,20423,20423,1.000000,27232,27232,27255,29756
Baseline_NoOp,101571_90_1.jpg,224,224,224,224,50176,1,24736,24736,1.000000,32984,32984,33007,36018
Baseline_NoOp,10161_79_1.jpg,224,224,224,224,50176,1,16965,16965,1.000000,22620,22620,22643,24664
Baseline_NoOp,10161_79_2.jpg,224,224,224,224,50176,1,16965,16965,1.000000,22620,22620,22643,24664
Baseline_NoOp,10161_79_3.jpg,224,224,224,224,50176,1,16965,16965,1.000000,22620,22620,22643,24664
Baseline_NoOp,101646_97_1.jpg,224,224,224,224,50176,1,19073,19073,1.000000,25432,25432,25455,27591
Baseline_NoOp,101646_97_2.jpg,224,224,224,224,50176,1,19073,19073,1.000000,25432,25432,25455,27591
Baseline_NoOp,101646_97_3.jpg,224,224,224,224,50176,1,19073,19073,1.000000,25432,25432,25455,27591
Baseline_NoOp,101646_97_4.jpg,224,224,224,224,50176,1,19073,19073,1.000000,25432,25432,25455,27591
Baseline_NoOp,101646_97_5.jpg,224,224,224,224,50176,1,19073,19073,1.000000,25432,25432,25455,27591
Baseline_NoOp,101646_97_6.jpg,224,224,224,224,50176,1,19073,19073,1.000000,25432,25432,25455,27591
Baseline_NoOp,101647_34_1.jpg,224,224,224,224,50176,1,13281,13281,1.000000,17708,17708,17731,19222
Baseline_NoOp,101647_34_2.jpg,224,224,224,224,50176,1,13281,13281,1.000000,17708,17708,17731,19222
Baseline_NoOp,101647_34_3.jpg,224,224,224,224,50176,1,13281,13281,1.000000,17708,17708,17731,19222
Baseline_NoOp,101702_125_1.jpg,224,224,224,224,50176,1,31159,31159,1.000000,41548,41548,41571,44722
Baseline_NoOp,101702_125_2.jpg,224,224,224,224,50176,1,31159,31159,1.000000,41548,41548,41571,44722
Baseline_NoOp,101720_78_1.jpg,224,224,224,224,50176,1,15001,15001,1.000000,20004,20004,20027,21973
Baseline_NoOp,101720_78_3.jpg,224,224,224,224,50176,1,15001,15001,1.000000,20004,20004,20027,21973
Baseline_NoOp,101720_78_4.jpg,224,224,224,224,50176,1,15001,15001,1.000000,20004,20004,20027,21973
Baseline_NoOp,101738_110_1.jpg,224,224,224,224,50176,1,16392,16392,1.000000,21856,21856,21879,24065
Baseline_NoOp,101738_110_2.jpg,224,224,224,224,50176,1,16392,16392,1.000000,21856,21856,21879,24065
Baseline_NoOp,101738_110_3.jpg,224,224,224,224,50176,1,16392,16392,1.000000,21856,21856,21879,24065
Baseline_NoOp,101738_110_all.jpg,224,224,224,224,50176,1,16392,16392,1.000000,21856,21856,21879,24065
Baseline_NoOp,101742_64_1.jpg,224,224,224,224,50176,1,16087,16087,1.000000,21452,21452,21475,24031
Baseline_NoOp,101761_9_1.jpg,224,224,224,224,50176,1,13916,13916,1.000000,18556,18556,18579,20345
